chain1,chain2,tx1,tx2,bt1,bt2,from1,to1,from2,to2,sold_symbol_1,bought_symbol_1,sold_symbol_2,bought_symbol_2,generic_token_pair,sold_amt_1,buy_amt_1,sold_amt_2,buy_amt_2,raw_diff_pct_1,time_diff
avalanche_c,bnb,0x1c9f2f5569caf71a8a668c460a78e93f9fc20d5715a927d1a9118eb95c6c80f5,0x9b8587d2a1dd3fe7ada877f46ddb4720a6e3a2a4cbeee58241763188b760d641,2024-01-15 16:07:04.000 UTC,2024-01-15 16:07:56.000 UTC,0x422f02e49f39775d1b6f54f22802583bd5af07a6,0xb4315e873dbcf96ffd0acd8ea43f689d8c20fb30,0x422f02e49f39775d1b6f54f22802583bd5af07a6,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,USDC,BETS,BETS,USDC,USDC_BETS,499.89960099999996,671785.1616944443,671785.1616944443,505.75922298735,0,52
arbitrum,bnb,0x46e3c643e6ba2e80988bce5523974e1fc88d278e0c3398838f79b12ee8aebd43,0x127a117ec82107a5b8565fd2b1e29b663a92ccc63bd36b9e9e98c1512bf66b86,2024-01-15 04:31:07.000 UTC,2024-01-15 04:34:24.000 UTC,0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,0xf5d9bcf3fb5bb21fca6ae215c98321d40f3ac1d0,0xa311f7ca3eb2fb98123a807f9b8e4bbbdbdcb2ee,0xc4c9f3444452290d8bd09512fc3ebf3be745ccc9,MGP,USDC,USDT,MGP,MGP_USDC,24510.924656195046,1714.361714,1700,24584.03715692043,0.0083772951079797,197
bnb,arbitrum,0xea4b84f6fe576aba5bbb048a30584ee922c933714da684f24a5b76a19d83ef03,0x6d358aced0f3d05d60ea13ccf57a37849d2981f1c48c9952c5bd062ed665e9a1,2024-01-15 23:57:07.000 UTC,2024-01-15 23:57:08.000 UTC,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x10ed43c718714eb63d5aa57b78b54704e256024e,0x622661ab4b6ab93c659e751f47ebb0c6e6ad9f48,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,USDC,CDT,CDT,USDC,USDC_CDT,100,135.58597885781876,135.58597885781876,102.302838,0,1
avalanche_c,bnb,0xf8948515df02776693a9c933031e36fd7ecab63227a725f23b2292387fe876d4,0x94ffa9e34c8f02b65853053b3c379a658bd61665f8fbd256b24b50293c4920ed,2024-01-15 15:44:28.000 UTC,2024-01-15 15:45:31.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x0d21639a4a86c5516c17d7454cc2d67c97afffb7,WETH.e,xALGO,xALGO,ETH,WETH_xALGO,0.5,6190.272969,6190.272969,0.5032111039740704,0,63
ethereum,bnb,0xd6207ebca04720b09f5097394237765199474f7b494e900c317441d17ae8867d,0xf4be8881c360ec6bd1463bb0f5eb3a09bb07470555599093720c597505ff32e2,2024-01-15 01:14:35.000 UTC,2024-01-15 01:15:43.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x0d21639a4a86c5516c17d7454cc2d67c97afffb7,WETH,OVR,OVR,ETH,WETH_OVR,0.8,3771.2073170570575,3758.836347159073,0.8093917252433059,0.0032803738585336123,68
ethereum,polygon,0x8e120c1226851eb738469ce2a78878547cc2c5757e77fa2fa8c5f77d4e8786ed,0xb658daa7aec226f1ce536190762429315702e39cc6d28b723b5b1b7e55c4ba36,2024-01-15 07:34:35.000 UTC,2024-01-15 07:55:02.000 UTC,0x83ecfd72514133d21f91ddcbab70c6175e8efa88,0x826a4f4da02588737d3c27325b14f39b5151ca3c,0xe83f75907fb4c575414fa6f5cfe8cef24dc5870c,0x826a4f4da02588737d3c27325b14f39b5151ca3c,WETH,BANANA,BANANA,WETH,WETH_BANANA,0.6811854495200085,2092.420240105221,2092.420240105221,0.6915601277374208,0,1227
bnb,ethereum,0xb66bba775709207d4ced157a7df8310f71ebb04504fa939cf288b02a36d2bce2,0x8c1a8db13cb86e9be5e8465a2090cc91a5ccdfa649564a4c283316c246c89d9d,2024-01-15 17:57:25.000 UTC,2024-01-15 17:59:23.000 UTC,0xca92ec40737431b7317339367e6d1d334478a426,0x8107763ccf431eaf4ef5bd06e2111e586268c87f,0xca92ec40737431b7317339367e6d1d334478a426,0xdef1c0ded9bec7f1a1670819833240f027b25eff,ETH,PAID,PAID,WETH,WETH_PAID,1.0155704379253812,8226.570795390951,8226.570795390951,1.0261189061383487,0,118
bnb,ethereum,0xb66bba775709207d4ced157a7df8310f71ebb04504fa939cf288b02a36d2bce2,0xda55d89b2a9cfe501dd5771fa59cca6e2951dcf4caa65c0ca36a011d4265d963,2024-01-15 17:57:25.000 UTC,2024-01-15 18:56:11.000 UTC,0xca92ec40737431b7317339367e6d1d334478a426,0x8107763ccf431eaf4ef5bd06e2111e586268c87f,0xca92ec40737431b7317339367e6d1d334478a426,0xdef1c0ded9bec7f1a1670819833240f027b25eff,ETH,PAID,PAID,WETH,WETH_PAID,1.0155704379253812,8226.570795390951,8226.570795390951,1.0768583204947761,0,3526
ethereum,arbitrum,0xdcea4f4d26852a5ef5640658282aa5512619b8064663ba17330ec3d31e9db828,0x28bfb7a989fe81a86fe071ac0fba147bd16f59e78e2aeb946621f1ecb1fe1068,2024-01-15 09:08:47.000 UTC,2024-01-15 09:18:35.000 UTC,0x15648dd703c8f662d8fe59501985c73237658f25,0x84075fe999e50b951b0f399cde4bfbb205ed8313,0x15648dd703c8f662d8fe59501985c73237658f25,0x82ec5e736b6283b77782df8f5ed9dcfda1a2ad79,WETH,KIBSHI,KIBSHI,WETH,WETH_KIBSHI,0.11468660921590497,238190984.2871121,238190984.2871121,0.12511549404292696,0,588
zksync,base,0x27ffe27b5a0a0528e328c13156ffc2651a1feb96d4a8f115f6bd48851b152053,0x8492bfc4b817d9f340e82431814dd9b0da72d5431d30c9fc42f6d014c6a83d7e,2024-01-15 14:47:32.000 UTC,2024-01-15 15:01:13.000 UTC,0xcd892df54518cd0302b0f1ed11da0106746ce9cf,0x4bba932e9792a2b917d47830c93a9bc79320e4f7,0xcd892df54518cd0302b0f1ed11da0106746ce9cf,0x19ceead7105607cd444f5ad10dd51356436095a1,ETH,MAV,MAV,WETH,WETH_MAV,0.001,5.624874187938331,5.623749213100743,0.001063068805406354,0.00019999999999996063,821
