chain1,chain2,tx1,tx2,bt1,bt2,from1,to1,from2,to2,sold_symbol_1,bought_symbol_1,sold_symbol_2,bought_symbol_2,generic_token_pair,sold_amt_1,buy_amt_1,sold_amt_2,buy_amt_2,raw_diff_pct_1,time_diff
arbitrum,base,0xda5fbbf69cd7b00849dd9c17f663054bb93c7988bbfa2d3532a3166b343cfb6b,0xc55e1df96c2bc86c53a82ac57d8c98c173eea1311525031643dda131dfa3c250,2024-05-15 14:45:27.000 UTC,2024-05-15 14:45:31.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x32226588378236fd0c7c4053999f88ac0e5cac77,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,USDC,OVN,OVN,USDbC,USDC_OVN,750,21.821089418822428,21.821089418822428,800.872631,0,4
ethereum,arbitrum,0x212a1d2b2f1504f116c28c59f88a202f2063c0dce3a8a437b37164b13b6644d5,0xbeb414c1492c2f5b1d786fcce8aabb57bcd11da6d555397e79ee4c6fcfbef99d,2024-05-15 17:40:11.000 UTC,2024-05-15 17:50:55.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,0xca74f404e0c7bfa35b13b511097df966d5a65597,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,WETH,DOG,DOG,WETH,WETH_DOG,0.5,189152.14714506286,189152.14714506286,0.5139482272034359,0,644
ethereum,base,0xeedcd7d515b46cb83ac9e0f502eded9e10f663b8f9a552f83a7c0e4115c2b9e5,0x1d00f150e77297138731bfaf25fd82182e6502dda0487e165282477b6aa43951,2024-05-15 12:50:47.000 UTC,2024-05-15 13:05:23.000 UTC,0x014fc202bb9165d896e221a458b7e8a3a7f5ecd4,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x014fc202bb9165d896e221a458b7e8a3a7f5ecd4,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,Mog,WETH,WETH,Mog,Mog_WETH,4602043373.979693,0.9251009808034855,0.900005688794624,4847836852.203817,0.027127083993647154,876
ethereum,bnb,0x98246f17b2a95bf80da5138c1e88581bc3d67ea1d49ad1155384a1e4549e893a,0x1f1620b3a64a38780badcd06bb03d118d43250038b859a97d825de64b4c264db,2024-05-15 14:30:11.000 UTC,2024-05-15 14:34:39.000 UTC,0x6f5884a6ba14297eab47aa52c4e739f0a11ff7c1,0xdef1c0ded9bec7f1a1670819833240f027b25eff,0x6f5884a6ba14297eab47aa52c4e739f0a11ff7c1,0xdef1c0ded9bec7f1a1670819833240f027b25eff,USDC,NMT,NMT,USDC,USDC_NMT,20000,3165.388647062853,3163.0000000000005,20061.7607311863,0.0007546141498514194,268
base,avalanche_c,0xe6b0a9fc9f40e1d760919355f1733f830d527c402f4dbd55b05b6ca061e9120d,0xc8bc63c05805c35acb8a19b9ea48625e2b8a8248f2adc555b51d538976762ef7,2024-05-15 13:51:19.000 UTC,2024-05-15 13:51:22.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x2626664c2603336e57b271c5c0b26f421741e481,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x60ae616a2155ee3d9a68541ba4544862310933d4,USDbC,OSAK,OSAK,USDC,USDC_OSAK,375,1320985688.1271589,1320985688.1271589,378.881163,0,3
bnb,base,0x84f7158d9a617a4b86987bb5926de7bf720c0a5466b2bd49dcf669843e96211d,0xdea903ba428143bd10b70197f5aa87b9e732144d7fd503eb2270603ff774bf79,2024-05-15 14:50:39.000 UTC,2024-05-15 14:52:33.000 UTC,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,0x6131b5fae19ea4f9d964eac0408e4408b66337b5,0x65a8f07bd9a8598e1b5b6c0a88f4779dbc077675,0x59c7c832e96d2568bea6db468c1aadcbbda08a52,USDT,COPI,COPI,USDbC,USDC_COPI,1500,28347.045661561457,28262.00452457677,1509.776872,0.003000000000000125,114
bnb,ethereum,0x6ab9c7c19a6234b7e4a8da977f90021fbbe5a3c67fbfdf80f73aaec78e543fc4,0x25d1cbc28ff875df20619c310dc97f095a80c7d7784e7884fc24f475d97b94f4,2024-05-15 16:56:55.000 UTC,2024-05-15 16:59:23.000 UTC,0x4ca8ad3a20848ac6f5dbb14cc02fce8c037d11da,0x111111125421ca6dc452d289314280a0f8842a65,0x4ca8ad3a20848ac6f5dbb14cc02fce8c037d11da,0x111111125421ca6dc452d289314280a0f8842a65,USDC,TRUMP,TRUMP,USDC,USDC_TRUMP,2000,235.996282559,233.636319735,2037.063905,0.009999999993262636,148
arbitrum,optimism,0xe110374db15c51e444d4004bcc2a52acd711a70edd64b1857c762b5fed9d5cd3,0x3abfdcc9b93e9c75396dfec46b05d7c2ead2d581cf85e95f46dba0f0d5f83770,2024-05-15 14:02:36.000 UTC,2024-05-15 14:04:57.000 UTC,0x9ef85267e9d0a1305c2b0daa44d7e4ee3815dfd3,0xa669e7a0d4b3e4fa48af2de86bd4cd7126be4e13,0x9ef85267e9d0a1305c2b0daa44d7e4ee3815dfd3,0xca423977156bb05b13a2ba3b76bc5419e2fe9680,USD₮0,GRAI,GRAI,LUSD,USDC_GRAI,2000,2024.7407230113015,2023.7283522365915,2010.641167281839,0.0005000002040776636,141
ethereum,polygon,0x2967c7c052db2d4cbcea4689014c362c38de0c4a0c5ec0d44333a417c5eae798,0x4e691de309c377122b197a356ead1e78fc1c43765282c7230501608dc7c0c887,2024-05-15 17:38:59.000 UTC,2024-05-15 17:39:04.000 UTC,0x288a13fddcfcaa596c07c74903b6f8d85545a48e,0x000000fb04cfc92ce3d49d21c99b6d12309e025d,0x288a13fddcfcaa596c07c74903b6f8d85545a48e,0x000000fb04cfc92ce3d49d21c99b6d12309e025d,TEL,WETH,WETH,TEL,TEL_WETH,453663.44,0.6050732572885681,0.6000000000000001,453686.72,0.008384533984037063,5
ethereum,base,0xa2cd8216f200efab4b6dcdf73b407bcd9b50af7dac5976750fa8cd8b8370f6ff,0xee2ff94684c5fcecd37b39725cea0ce050b96b906ec29407620a0537eb123930,2024-05-15 18:07:35.000 UTC,2024-05-15 18:11:29.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,0xca74f404e0c7bfa35b13b511097df966d5a65597,0x1111111254eeb25477b68fb85ed929f73a960582,WETH,QI,QI,ETH,WETH_QI,1,56514.25863414322,56514.25863414,1.0075247559790108,5.690551983152331e-14,234
