chain1,chain2,tx1,tx2,bt1,bt2,from1,to1,from2,to2,sold_symbol_1,bought_symbol_1,sold_symbol_2,bought_symbol_2,generic_token_pair,sold_amt_1,buy_amt_1,sold_amt_2,buy_amt_2,raw_diff_pct_1,time_diff
arbitrum,ethereum,0x1aa432bc022943b75f2fc8045dc6ec33578588f802327408e38fa79b5050bc97,0x986e3ee9fdef6227f481565a48e6cbf87dbf696d13af736337bbefe32387a0e7,2023-09-01 06:33:39.000 UTC,2023-09-01 07:24:47.000 UTC,0xf0669ef23b776bb5998920647996bb3a137ca52a,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,0xf0669ef23b776bb5998920647996bb3a137ca52a,0x3fc91a3afd70395cd496c647d5a6cc9d4b2b7fad,WETH,STG,STG,WETH,WETH_STG,1.25,3914.799570760253,4012.9999999999995,1.2659543732243226,0.025084407889795473,3068
bnb,arbitrum,0xb544c5db1889b02a2af3115bbc7190c5d55dc66f435f017dc6f719c77571a906,0x7aa8c5615fd89e811d1a55b6e62eace4388487ea8a7cf843fc97dc1610fa7d14,2023-09-01 15:04:25.000 UTC,2023-09-01 15:40:00.000 UTC,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,JOE,ETH,WETH,JOE,JOE_WETH,1640.80161377,0.30326533405036565,0.3,1654.6354480923,0.010767251260651391,2135
bnb,arbitrum,0xb544c5db1889b02a2af3115bbc7190c5d55dc66f435f017dc6f719c77571a906,0x413a94831d3e23bb11ffa41aff915744c02651d6902c8e88b00c2b04863be926,2023-09-01 15:04:25.000 UTC,2023-09-01 15:40:31.000 UTC,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0x78ee025e72abbbb6b41dd8a65a4d180165e7537c,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,JOE,ETH,WETH,JOE,JOE_WETH,1640.80161377,0.30326533405036565,0.3,1661.0440155190945,0.010767251260651391,2166
optimism,polygon,0xde4bda50e7c46ca2bece97be281010d6692d76d8397491d71d55c375113f0b7b,0xb34586314da5a561e94450762a8aa511d64cd7ce7b56a908388fd62d8017b4d4,2023-09-01 22:32:53.000 UTC,2023-09-01 22:32:56.000 UTC,0xa954fa0307b7e6361055d6fbc52e763a4903110e,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,0xa954fa0307b7e6361055d6fbc52e763a4903110e,0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45,USDC,EURA,EURA,USDC,USDC_EURA,0.107869,0.1,0.1,0.107933,0,3
optimism,base,0x6efe44adbe231da3f7a6604267682d40a683160d98efed085d3409f1513d53a3,0x1c6ee777384f035b247d4043b13c2d0db6c9468c969639d134f07a0afdae87d6,2023-09-01 16:12:11.000 UTC,2023-09-01 16:38:09.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0xa062ae8a9c5e11aaa026fc2670b0d65ccc8b2858,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0xcf77a3ba9a5ca399b7c97c74d54e5b1beb874e43,USDC,SONNE,SONNE,USDbC,USDC_SONNE,2500,23317.37597884469,23291.375978844688,2595.023568,0.0011150482808868728,1558
base,zksync,0x0a456483462d8807f68344aff2cd936433b7ae994dcd7666a010ad3e7f635e02,0x32f026f16ef7ce4e080b502747fd9442feae3cb9647775f07b5a25eb3729e1ae,2023-09-01 18:28:49.000 UTC,2023-09-01 18:29:37.000 UTC,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x32aed3bce901da12ca8489788f3a99fce1056e14,0x4cb6f0ef0eeb503f8065af1a6e6d5dd46197d3d9,0x2da10a1e27bf85cedd8ffb1abbe97e53391c0295,USDbC,MAV,MAV,USDC.e,USDC_MAV,750,3273.6599164959475,3273.005184512648,766.958558,0.00020000000000005536,48
bnb,arbitrum,0x548bbb95882f41462931f8091e38bc5540bd31939ee7ff592116238e567fb3e3,0x678135d3b61678c5ea30f65b0629911cdda362e55dc2e9c2208d441298b4f660,2023-09-01 22:03:40.000 UTC,2023-09-01 22:05:03.000 UTC,0xca74f404e0c7bfa35b13b511097df966d5a65597,0xdef171fe48cf0115b1d80b88dc8eab59176fee57,0xca74f404e0c7bfa35b13b511097df966d5a65597,0xdef1c0ded9bec7f1a1670819833240f027b25eff,ETH,JOE,JOE,WETH,WETH_JOE,0.7,3903.944360902523,3903.9443609,0.7035292031090179,6.462536525840354e-13,83
avalanche_c,polygon,0x1a0dbdd1c1f7dabcc17b195df6a97480201af7688ff358a6d63230e7460926db,0x5ed0223554f117b547aa56c15332b6066793048fef1fbbfed692f9b2e766d2a4,2023-09-01 20:03:44.000 UTC,2023-09-01 20:06:04.000 UTC,0x71b3be57e127360c92815772f0af2eb7b8c5c921,0x60ae616a2155ee3d9a68541ba4544862310933d4,0x71b3be57e127360c92815772f0af2eb7b8c5c921,0x1b02da8cb0d097eb8d57a175b88c7d8b47997506,gOHM,USDT.e,USDC,gOHM,gOHM_USDC,0.017450796582151873,49.667145,49.717092,0.017553357161091222,0.0010056346101633801,140
polygon,bnb,0x1dbbc51f2111756b37203efbbc752ca488ca1571477aa54926a604f9d7268bf0,0x7cb433eb97ca7bff9a60cd6d7416986de3131e26ae46266cfaf2359a9779409e,2023-09-01 00:14:56.000 UTC,2023-09-01 00:20:16.000 UTC,0x13ff963fc8a3993f4269da5adcb07286a8616c6a,0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff,0x13ff963fc8a3993f4269da5adcb07286a8616c6a,0x10ed43c718714eb63d5aa57b78b54704e256024e,USDC,ADS,ADS,USDT,USDC_ADS,99.939567,163.24217290517,162.55700076482,102.04431378471673,0.004197274075419423,320
polygon,bnb,0x1dbbc51f2111756b37203efbbc752ca488ca1571477aa54926a604f9d7268bf0,0x62792253f9a634e4cc12846245d0599fc13dd4ec7ec011a7fca4692c7b1b7da9,2023-09-01 00:14:56.000 UTC,2023-09-01 00:20:25.000 UTC,0x13ff963fc8a3993f4269da5adcb07286a8616c6a,0xa5e0829caced8ffdd4de3c43696c57f7d7a678ff,0x13ff963fc8a3993f4269da5adcb07286a8616c6a,0x10ed43c718714eb63d5aa57b78b54704e256024e,USDC,ADS,ADS,USDT,USDC_ADS,99.939567,163.24217290517,162.55700076482,101.26176608626142,0.004197274075419423,329
